"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","year"
"16581",1659,"Illinois","IL","S - FULL TERM","S0IL00311","","Kathleen","Thomas","Thomas, Kathleen","","R","54,038","7.28%","","","","","2010"
"1659",1660,"Illinois","IL","S - FULL TERM","S4IL00362","","Andy","Martin","Martin, Andy","","R","37,480","5.05%","","","","","2010"
"16601",1661,"Illinois","IL","S - FULL TERM","S0IL00279","","John","Arrington","Arrington, John","","R","21,090","2.84%","","","","","2010"
"1661",1662,"Illinois","IL","S - FULL TERM","S0IL00410","","Patricia Elaine","Beard","Beard, Patricia Elaine","","W(REP)","2","0.00%","","","","","2010"
"1663",1664,"Illinois","IL","S - FULL TERM","S0IL00204","","Alexander ""Alexi""","Giannoulias","Giannoulias, Alexander ""Alexi""","","D","352,202","38.93%","","","1,719,478","46.42%","2010"
"16641",1665,"Illinois","IL","S - FULL TERM","S0IL00337","","David","Hoffman","Hoffman, David","","D","304,757","33.68%","","","","","2010"
"1665",1666,"Illinois","IL","S - FULL TERM","S0IL00238","","Cheryle","Jackson","Jackson, Cheryle","","D","179,682","19.86%","","","","","2010"
"16661",1667,"Illinois","IL","S - FULL TERM","S6IL00185","","Robert","Marshall","Marshall, Robert","","D","51,813","5.73%","","","","","2010"
"16671",1668,"Illinois","IL","S - FULL TERM","S0IL00329","","Jacob J.","Meister","Meister, Jacob J.","","D","16,317","1.80%","","","","","2010"
"1668",1669,"Illinois","IL","S - FULL TERM","S0IL00402","","Christopher","Smith","Smith, Christopher","","W(DEM)","2","0.00%","","","","","2010"
"1670",1671,"Illinois","IL","S - FULL TERM","S0IL00386","","LeAlan M.","Jones","Jones, LeAlan M.","","GRE","5,161","100.00%","","","117,914","3.18%","2010"
"1672",1673,"Illinois","IL","S - FULL TERM","S0IL00428","","Mike","Labno","Labno, Mike","","LIB","","","","","87,247","2.36%","2010"
"16731",1674,"Illinois","IL","S - FULL TERM","S0IL00212","","Robert L. ""Bob""","Zadek","Zadek, Robert L. ""Bob""","","W","","","","","561","0.02%","2010"
"16741",1675,"Illinois","IL","S - FULL TERM","S0IL00378","","Will","Boyd","Boyd, Will","","W","","","","","468","0.01%","2010"
"1675",1676,"Illinois","IL","S - FULL TERM","S0IL00352","","Corey","Dabney","Dabney, Corey","","W","","","","","33","0.00%","2010"
"16761",1677,"Illinois","IL","S - FULL TERM","S0IL00436","","Susanne","Atanus","Atanus, Susanne","","W","","","","","19","0.00%","2010"
"1677",1678,"Illinois","IL","S - FULL TERM","S0IL00444","","Shon-Tiyon ""Santiago""","Horton","Horton, Shon-Tiyon ""Santiago""","","W","","","","","16","0.00%","2010"
"16781",1679,"Illinois","IL","S - FULL TERM","S0IL00451","","Avner","Nagar","Nagar, Avner","","W","","","","","15","0.00%","2010"
"1679",1680,"Illinois","IL","S - FULL TERM","S0IL00196","","Stan","Jagla","Jagla, Stan","","W","","","","","12","0.00%","2010"
"16801",1681,"Illinois","IL","S - FULL TERM","S0IL00469","","Darren","Raichart","Raichart, Darren","","W","","","","","9","0.00%","2010"
"16811",1682,"Illinois","IL","S - FULL TERM","S0IL00477","","Lowell M.","Seida","Seida, Lowell M.","","W","","","","","3","0.00%","2010"
"1685",1686,"Illinois","IL","S - UNEXPIRED TERM","S0IL00261","","Mark Steven","Kirk","Kirk, Mark Steven","","R","","","","","1,677,729","47.31%","2010"
"16861",1687,"Illinois","IL","S - UNEXPIRED TERM","S0IL00204","","Alexander ""Alexi""","Giannoulias","Giannoulias, Alexander ""Alexi""","","D","","","","","1,641,486","46.29%","2010"
"1687",1688,"Illinois","IL","S - UNEXPIRED TERM","S0IL00386","","LeAlan M.","Jones","Jones, LeAlan M.","","GRE","","","","","129,571","3.65%","2010"
"16881",1689,"Illinois","IL","S - UNEXPIRED TERM","S0IL00428","","Mike","Labno","Labno, Mike","","LIB","","","","","95,762","2.70%","2010"
"16891",1690,"Illinois","IL","S - UNEXPIRED TERM","S0IL00212","","Robert","Zadek","Zadek, Robert","","W","","","","","683","0.02%","2010"
"1690",1691,"Illinois","IL","S - UNEXPIRED TERM","S0IL00378","","Will","Boyd","Boyd, Will","","W","","","","","415","0.01%","2010"
"16911",1692,"Illinois","IL","S - UNEXPIRED TERM","S0IL00485","","Ina","Pinkney","Pinkney, Ina","","W","","","","","297","0.01%","2010"
"1692",1693,"Illinois","IL","S - UNEXPIRED TERM","S0IL00352","","Corey","Dabney","Dabney, Corey","","W","","","","","15","0.00%","2010"
"16931",1694,"Illinois","IL","S - UNEXPIRED TERM","S0IL00436","","Susanne","Atanus","Atanus, Susanne","","W","","","","","12","0.00%","2010"
"1694",1695,"Illinois","IL","S - UNEXPIRED TERM","S0IL00444","","Shon-Tiyon ""Santiago""","Horton","Horton, Shon-Tiyon ""Santiago""","","W","","","","","8","0.00%","2010"
"16951",1696,"Illinois","IL","S - UNEXPIRED TERM","S0IL00196","","Stan","Jagla","Jagla, Stan","","W","","","","","5","0.00%","2010"
"16961",1697,"Illinois","IL","S - UNEXPIRED TERM","S0IL00477","","Lowell M.","Seida","Seida, Lowell M.","","W","","","","","1","0.00%","2010"
"16991",1700,"Indiana","IN","01","H4IN01012","(I)","Peter J. ","Visclosky","Visclosky, Peter J. ","","D","41,982","100.00%","","","99,387","58.56%","2010"
"17011",1702,"Indiana","IN","01","H8IN01096","","Mark","Leyva","Leyva, Mark","","R","6,385","24.66%","","","65,558","38.63%","2010"
"1702",1703,"Indiana","IN","01","H0IN01085","","Peter, III","Lindemulder","Lindemulder, Peter, III","","R","5,783","22.34%","","","","","2010"
"17031",1704,"Indiana","IN","01","H0IN01093","","Eric L. ","Olson","Olson, Eric L. ","","R","3,482","13.45%","","","","","2010"
"17041",1705,"Indiana","IN","01","H0IN01077","","Robert","Pastore","Pastore, Robert","","R","3,469","13.40%","","","","","2010"
"17051",1706,"Indiana","IN","01","H0IN01101","","Adam A.","Dombkowski","Dombkowski, Adam A.","","R","3,320","12.82%","","","","","2010"
"1706",1707,"Indiana","IN","01","H6IN01173","","Ric ","Holtz","Holtz, Ric ","","R","1,505","5.81%","","","","","2010"
"17071",1708,"Indiana","IN","01","H6IN01157","","Jayson","Reeves","Reeves, Jayson","","R","1,194","4.61%","","","","","2010"
"1708",1709,"Indiana","IN","01","H6IN01124","","Michael","Petyo","Petyo, Michael","","R","754","2.91%","","","","","2010"
"1710",1711,"Indiana","IN","01","H0IN01119 ","","Jon ","Morris","Morris, Jon ","","LIB","*","","","","4,762","2.81%","2010"
"1713",1714,"Indiana","IN","02","H4IN02101","(I)","Joe","Donnelly","Donnelly, Joe","","D","26,659","100.00%","","","91,341","48.18%","2010"
"1715",1716,"Indiana","IN","02","H0IN02190","","Jackie  ","Walorski","Walorski, Jackie  ","","R","29,118","60.83%","","","88,803","46.84%","2010"
"17161",1717,"Indiana","IN","02","H0IN02208","","Jack Edward","Jordan","Jordan, Jack Edward","","R","13,576","28.36%","","","","","2010"
"17171",1718,"Indiana","IN","02","H0IN02224 ","","Martin A.","Dolan","Dolan, Martin A.","","R","3,762","7.86%","","","","","2010"
"1718",1719,"Indiana","IN","02","H4IN02119","","Tony Hvfvgpd","Zirkle","Zirkle, Tony Hvfvgpd","","R","1,415","2.96%","","","","","2010"
"17201",1721,"Indiana","IN","02","H8IN02136","","Mark ","Vogel","Vogel, Mark ","","LIB","*","","","","9,447","4.98%","2010"
"17231",1724,"Indiana","IN","03 - FULL TERM","H0IN03198","","Marlin A. ","Stutzman","Stutzman, Marlin A. #","","R","#","","","","116,140","62.76%","2010"
"1724",1725,"Indiana","IN","03 - FULL TERM","H4IN04099","(I)","Mark Edward","Souder","Souder, Mark Edward #","","R","38,441","47.76%","","","","","2010"
"17251",1726,"Indiana","IN","03 - FULL TERM","H0IN03164","","Bob","Thomas","Thomas, Bob","","R","27,068","33.63%","","","","","2010"
"1726",1727,"Indiana","IN","03 - FULL TERM","H0IN03149","","Phillip J. (Phil)","Troyer","Troyer, Phillip J. (Phil)","","R","12,851","15.97%","","","","","2010"
"17271",1728,"Indiana","IN","03 - FULL TERM","H0IN03156","","Gregory (Greg)","Dickman","Dickman, Gregory (Greg)","","R","2,127","2.64%","","","","","2010"
"17291",1730,"Indiana","IN","03 - FULL TERM","H6IN03161","","Thomas","Hayhurst","Hayhurst, Thomas","","D","8,759","79.84%","","","61,267","33.11%","2010"
"1730",1731,"Indiana","IN","03 - FULL TERM","H0IN02232","","Thomas Allen","Schrader","Schrader, Thomas Allen","","D","2,212","20.16%","","","","","2010"
"17321",1733,"Indiana","IN","03 - FULL TERM","H8IN03068","","Scott ","Wise","Wise, Scott ","","LIB","*","","","","7,631","4.12%","2010"
"17331",1734,"Indiana","IN","03 - FULL TERM","H0IN03206 ","","Tom","Metzger","Metzger, Tom","","W","","","","","10","0.01%","2010"
"1734",1735,"Indiana","IN","03 - FULL TERM","H0IN03214","","Wes","Stephens","Stephens, Wes","","W","","","","","1","0.00%","2010"
"17381",1739,"Indiana","IN","03 - UNEXPIRED TERM","H0IN03198","","Marlin A.","Stutzman","Stutzman, Marlin A.","","R","**","","","","115,415","62.65%","2010"
"1739",1740,"Indiana","IN","03 - UNEXPIRED TERM","H6IN03161","","Thomas","Hayhurst","Hayhurst, Thomas","","D","**","","","","60,880","33.05%","2010"
"17401",1741,"Indiana","IN","03 - UNEXPIRED TERM","H8IN03068","","Scott","Wise","Wise, Scott","","LIB","","","","","7,914","4.30%","2010"
"17431",1744,"Indiana","IN","04","H0IN04170","","Todd","Rokita","Rokita, Todd","","R","36,411","42.36%","","","138,732","68.57%","2010"
"1744",1745,"Indiana","IN","04","H0IN04204","","Brandt","Hershman","Hershman, Brandt","","R","14,712","17.12%","","","","","2010"
"17451",1746,"Indiana","IN","04","H2IN04077","","R. Michael ","Young","Young, R. Michael ","","R","6,991","8.13%","","","","","2010"
"1746",1747,"Indiana","IN","04","H0IN04196","","Eric L. ","Wathen","Wathen, Eric L. ","","R","5,493","6.39%","","","","","2010"
"17471",1748,"Indiana","IN","04","H8IN04116","","LaRon","Keith","Keith, LaRon","","R","3,549","4.13%","","","","","2010"
"1748",1749,"Indiana","IN","04","H0IN04220","","Charles E. ","Henderson","Henderson, Charles E. ","","R","3,531","4.11%","","","","","2010"
"17491",1750,"Indiana","IN","04","H0IN04212","","Jon","Acton","Acton, Jon","","R","3,444","4.01%","","","","","2010"
"17501",1751,"Indiana","IN","04","H0IN04253 ","","Cheryl Denise","Allen","Allen, Cheryl Denise","","R","2,972","3.46%","","","","","2010"
"17511",1752,"Indiana","IN","04","H4IN04156","","Mike","Campbell","Campbell, Mike","","R","2,407","2.80%","","","","","2010"
"1752",1753,"Indiana","IN","04","H0IN04261","","James T. (Jim)","Hass","Hass, James T. (Jim)","","R","2,161","2.51%","","","","","2010"
"1753",1754,"Indiana","IN","04","H0IN04287","","Phillip J. (PJ)","Steffen","Steffen, Phillip J. (PJ)","","R","1,737","2.02%","","","","","2010"
"17541",1755,"Indiana","IN","04","H0IN04279","","Mark ","Seitz","Seitz, Mark ","","R","1,562","1.82%","","","","","2010"
"1755",1756,"Indiana","IN","04","H0IN04162","","Daniel L.","Dunham","Dunham, Daniel L.","","R","981","1.14%","","","","","2010"
"1757",1758,"Indiana","IN","04","H4IN04149","","David","Sanders","Sanders, David","","D","7,615","51.55%","","","53,167","26.28%","2010"
"17581",1759,"Indiana","IN","04","H0IN04238","","Tara E.","Nelson","Nelson, Tara E.","","D","4,253","28.79%","","","","","2010"
"17591",1760,"Indiana","IN","04","H0IN04246","","Mark  ","Powell","Powell, Mark  ","","D","2,905","19.66%","","","","","2010"
"17611",1762,"Indiana","IN","04","H0IN04295 ","","John ","Duncan","Duncan, John ","","LIB","*","","","","10,423","5.15%","2010"
"17641",1765,"Indiana","IN","05","H2IN06023","(I)","Dan","Burton","Burton, Dan","","R","32,769","29.67%","","","146,899","62.14%","2010"
"1765",1766,"Indiana","IN","05","H0IN02125","","Luke","Messer","Messer, Luke","","R","30,502","27.62%","","","","","2010"
"17661",1767,"Indiana","IN","05","H8IN05097","","John","McGoff","McGoff, John","","R","20,679","18.72%","","","","","2010"
"17671",1768,"Indiana","IN","05","H0IN05102","","Michael B.","Murphy","Murphy, Michael B.","","R","9,805","8.88%","","","","","2010"
"1768",1769,"Indiana","IN","05","H0IN05086","","Brose","McVey","McVey, Brose","","R","9,372","8.49%","","","","","2010"
"17691",1770,"Indiana","IN","05","H0IN05136","","Andy","Lyons","Lyons, Andy","","R","3,964","3.59%","","","","","2010"
"1770",1771,"Indiana","IN","05","H0IN05144","","Ann B.","Adcook","Adcook, Ann B.","","R","3,352","3.04%","","","","","2010"
"1772",1773,"Indiana","IN","05","H0IN05151","","Tim","Crawford","Crawford, Tim","","D","9,937","60.88%","","","60,024","25.39%","2010"
"17731",1774,"Indiana","IN","05","H0IN05128","","Nasser","Hanna","Hanna, Nasser","","D","6,386","39.12%","","","","","2010"
"1775",1776,"Indiana","IN","05","H0IN05169","","Richard (Chard)","Reid","Reid, Richard (Chard)","","LIB","*","","","","18,266","7.73%","2010"
"1776",1777,"Indiana","IN","05","H0IN05177 ","","Jesse C.","Trueblood","Trueblood, Jesse C.","","IND","","","","","11,218","4.75%","2010"
"17791",1780,"Indiana","IN","06","H8IN02060","(I)","Mike","Pence","Pence, Mike","","R","61,381","100.00%","","","126,027","66.57%","2010"
"17811",1782,"Indiana","IN","06","H6IN06149","","Barry ","Welsh","Welsh, Barry ","","D","17,479","62.95%","","","56,647","29.92%","2010"
"1782",1783,"Indiana","IN","06","H6IN06024","","George Thomas","Holland","Holland, George Thomas","","D","10,287","37.05%","","","","","2010"
"17841",1785,"Indiana","IN","06","H0IN06100","","Talmage (T.J.), Jr.","Thompson","Thompson, Talmage (T.J.), Jr.","","LIB","*","","","","6,635","3.50%","2010"
"1787",1788,"Indiana","IN","07","H8IN07184","(I)","Andre D.","Carson","Carson, Andre D.","","D","26,364","89.05%","","","86,011","58.90%","2010"
"1788",1789,"Indiana","IN","07","H0IN07199 ","","Bob","Kern","Kern, Bob","","D","2,150","7.26%","","","","","2010"
"17891",1790,"Indiana","IN","07","H0IN07181 ","","Carl ","Kakasuleff","Kakasuleff, Carl ","","D","737","2.49%","","","","","2010"
"17901",1791,"Indiana","IN","07","H6IN07337","","Pierre Quincy","Pullins","Pullins, Pierre Quincy","","D","354","1.20%","","","","","2010"
"1792",1793,"Indiana","IN","07","H0IN07207 ","","Marvin B.","Scott","Scott, Marvin B.","","R","11,193","44.34%","","","55,213","37.81%","2010"
"1793",1794,"Indiana","IN","07","H0IN07173","","Carlos","May","May, Carlos","","R","9,325","36.94%","","","","","2010"
"17941",1795,"Indiana","IN","07","H8IN07150","","Wayne E.","Harmon","Harmon, Wayne E.","","R","4,728","18.73%","","","","","2010"
"1796",1797,"Indiana","IN","07","H0IN07215 ","","Dav","Wilson","Wilson, Dav","","LIB","*","","","","4,815","3.30%","2010"
"17991",1800,"Indiana","IN","08","H0IN08114","","Larry D. ","Bucshon","Bucshon, Larry D. ","","R","16,262","32.74%","","","116,759","57.44%","2010"
"1800",1801,"Indiana","IN","08","H0IN08108","","Kristi ","Risk","Risk, Kristi ","","R","14,273","28.73%","","","","","2010"
"1801",1802,"Indiana","IN","08","H0IN08189","","John Lee","Smith","Smith, John Lee","","R","4,715","9.49%","","","","","2010"
"1802",1803,"Indiana","IN","08","H0IN08106","","Dan ","Stockton","Stockton, Dan ","","R","4,697","9.46%","","","","","2010"
"18031",1804,"Indiana","IN","08","H0IN08205","","Steve","Westell","Westell, Steve","","R","4,324","8.70%","","","","","2010"
"18041",1805,"Indiana","IN","08","H0IN08197 ","","John K.","Snyder","Snyder, John K.","","R","2,523","5.08%","","","","","2010"
"1805",1806,"Indiana","IN","08","H0IN08171","","Bud","Bernitt","Bernitt, Bud","","R","1,469","2.96%","","","","","2010"
"18061",1807,"Indiana","IN","08","H0IN08122","","Billy J. ","Mahoney","Mahoney, Billy J. ","","R","1,410","2.84%","","","","","2010"
"18081",1809,"Indiana","IN","08","H0IN08163 ","","W. Trent","VanHaaften","VanHaaften, W. Trent","","D","31,685","100.00%","","","76,265","37.52%","2010"
"1810",1811,"Indiana","IN","08","H0IN08130","","John ","Cunningham","Cunningham, John ","","LIB","*","","","","10,240","5.04%","2010"
"1813",1814,"Indiana","IN","09","H0IN09070","","Todd","Young","Young, Todd","","R","19,141","34.57%","","","118,040","52.34%","2010"
"18141",1815,"Indiana","IN","09","H0IN09088","","Travis ","Hankins","Hankins, Travis ","","R","17,909","32.34%","","","","","2010"
"18151",1816,"Indiana","IN","09","H2IN09084","","Mike ","Sodrel","Sodrel, Mike ","","R","16,868","30.46%","","","","","2010"
"1816",1817,"Indiana","IN","09","H0IN09120","","Rick ","Warren","Warren, Rick ","","R","1,453","2.62%","","","","","2010"
"1818",1819,"Indiana","IN","09","H8IN09032","(I)","Baron P.","Hill","Hill, Baron P.","","D","37,493","69.58%","","","95,353","42.28%","2010"
"18191",1820,"Indiana","IN","09","H8IN09065","","John R.","Bottorff","Bottorff, John R.","","D","7,628","14.16%","","","","","2010"
"18201",1821,"Indiana","IN","09","H0IN09112","","Carol","Johnson-Smith","Johnson-Smith, Carol","","D","4,679","8.68%","","","","","2010"
"1821",1822,"Indiana","IN","09","H0IN09104","","James R., Jr.","McClure","McClure, James R., Jr.","","D","2,399","4.45%","","","","","2010"
"1822",1823,"Indiana","IN","09","H0IN09039","","Lendall B.","Terry","Terry, Lendall B.","","D","1,685","3.13%","","","","","2010"
"18241",1825,"Indiana","IN","09","H0IN09138","","Greg ""No Bull""","Knott","Knott, Greg ""No Bull""","","LIB","*","","","","12,070","5.35%","2010"
"18251",1826,"Indiana","IN","09","H0IN09146","","Jerry R.","Lucas","Lucas, Jerry R.","","W","","","","","69","0.03%","2010"
"18291",1830,"Indiana","IN","S","S0IN00053","","Dan","Coats","Coats, Dan","","R","217,225","39.47%","","","952,116","54.58%","2010"
"18301",1831,"Indiana","IN","S","S0IN00095","","Marlin A. ","Stutzman","Stutzman, Marlin A. ","","R","160,981","29.25%","","","","","2010"
"1831",1832,"Indiana","IN","S","S0IN00137","","John N.","Hostettler","Hostettler, John N.","","R","124,494","22.62%","","","","","2010"
"18321",1833,"Indiana","IN","S","S0IN00111","","Don, Jr.","Bates","Bates, Don, Jr.","","R","24,664","4.48%","","","","","2010"
"18331",1834,"Indiana","IN","S","S0IN00103","","Richard","Behney","Behney, Richard","","R","23,005","4.18%","","","","","2010"
"18351",1836,"Indiana","IN","S","S0IN00152","","Brad ","Ellsworth","Ellsworth, Brad ","","D","#","","","","697,775","40.00%","2010"
"18361",1837,"Indiana","IN","S","S8IN00080","","Rebecca","Sink-Burris","Sink-Burris, Rebecca","","LIB","*","","","","94,330","5.41%","2010"
"18371",1838,"Indiana","IN","S","S0IN00178","","Jim","Miller","Miller, Jim","","W","","","","","161","0.01%","2010"
"18381",1839,"Indiana","IN","S","S0IN00186","","Jack ","Rooney","Rooney, Jack ","","W","","","","","99","0.01%","2010"
"18411",1842,"Iowa","IA","01","H6IA01098","(I)","Bruce","Braley","Braley, Bruce","","D","12,316","99.43%","","","104,428","49.51%","2010"
"18441",1845,"Iowa","IA","01","H0IA01109","","Benjamin M.","Lange","Lange, Benjamin M.","","R","14,048","52.78%","","","100,219","47.52%","2010"
"1845",1846,"Iowa","IA","01","H0IA01133","","Will","Johnson","Johnson, Will","","R","6,067","22.80%","","","","","2010"
"1846",1847,"Iowa","IA","01","H0IA01109","","James R.","Budde","Budde, James R.","","R","3,347","12.58%","","","","","2010"
"1847",1848,"Iowa","IA","01","H0IA01125","","Mike","LaCoste","LaCoste, Mike","","R","3,076","11.56%","","","","","2010"
"18501",1851,"Iowa","IA","01","H0IA01158","","Rob J.","Petsche","Petsche, Rob J.","","LIB","","","","","4,087","1.94%","2010"
"18511",1852,"Iowa","IA","01","H0IA01166 ","","Jason A. ","Faulkner","Faulkner, Jason A. ","","NP","","","","","2,092","0.99%","2010"
"18551",1856,"Iowa","IA","02","H6IA02146","(I)","Dave ","Loebsack","Loebsack, Dave ","","D","13,324","99.12%","","","115,839","50.99%","2010"
"1858",1859,"Iowa","IA","02","H8IA02043","","Mariannette","Miller-Meeks","Miller-Meeks, Mariannette","","R","18,830","50.69%","","","104,319","45.92%","2010"
"18591",1860,"Iowa","IA","02","H0IA02099","","Steven R. ","Rathje","Rathje, Steven R. ","","R","8,155","21.95%","","","","","2010"
"18601",1861,"Iowa","IA","02","H0IA02081","","Christopher ","Reed","Reed, Christopher ","","R","5,365","14.44%","","","","","2010"
"1861",1862,"Iowa","IA","02","H0IA01098","","Rob","Gettemy","Gettemy, Rob","","R","4,749","12.78%","","","","","2010"
"1864",1865,"Iowa","IA","02","H0IA02107","","Gary ","Sicard","Sicard, Gary ","","LIB","","","","","4,356","1.92%","2010"
"18651",1866,"Iowa","IA","02","H0IA02123","","Jon","Tack","Tack, Jon","","CON","","","","","2,463","1.08%","2010"
"18691",1870,"Iowa","IA","03","H6IA03144","(I)","Leonard L. ","Boswell","Boswell, Leonard L. ","","D","13,107","97.49%","","","122,147","50.73%","2010"
"18721",1873,"Iowa","IA","03","H0IA03139","","Brad ","Zaun","Zaun, Brad ","","R","19,469","42.12%","","","111,925","46.49%","2010"
"18731",1874,"Iowa","IA","03","H0IA03121","","Jim","Gibbons","Gibbons, Jim","","R","13,022","28.17%","","","","","2010"
"1874",1875,"Iowa","IA","03","H0IA03113","","Dave","Funk","Funk, Dave","","R","9,989","21.61%","","","","","2010"
"18751",1876,"Iowa","IA","03","H0IA03147","","Mark R. ","Rees","Rees, Mark R. ","","R","1,981","4.29%","","","","","2010"
"18761",1877,"Iowa","IA","03","H0IA03154","","Pat ","Bertroche","Bertroche, Pat ","","R","690","1.49%","","","","","2010"
"1877",1878,"Iowa","IA","03","H0IA03162","","Jason Lee","Welch","Welch, Jason Lee","","R","572","1.24%","","","","","2010"
"1878",1879,"Iowa","IA","03","H0IA03170","","Scott G.","Batcher","Batcher, Scott G.","","R","464","1.00%","","","","","2010"
"18811",1882,"Iowa","IA","03","H0IA03188","","Rebecca ","Williamson","Williamson, Rebecca ","","SWP","","","","","6,258","2.60%","2010"
"18851",1886,"Iowa","IA","04","H4IA05102","(I)","Tom ","Latham","Latham, Tom ","","R","42,605","99.38%","","","152,588","65.62%","2010"
"1888",1889,"Iowa","IA","04","H0IA04095","","Bill ","Maske","Maske, Bill ","","D","11,374","99.54%","","","74,300","31.95%","2010"
"1891",1892,"Iowa","IA","04","H0IA04103 ","","Dan ","Lensing","Lensing, Dan ","","NP","","","","","5,499","2.36%","2010"
"18951",1896,"Iowa","IA","05","H2IA05072","(I)","Steve  ","King","King, Steve  ","","R","47,117","99.22%","","","128,363","65.75%","2010"
"18981",1899,"Iowa","IA","05","H0IA05092","","Matthew ","Campbell","Campbell, Matthew ","","D","7,119","75.69%","","","63,160","32.35%","2010"
"1899",1900,"Iowa","IA","05","H0IA05084","","Mike  ","Denklau","Denklau, Mike  ","","D","2,261","24.04%","","","","","2010"
"19021",1903,"Iowa","IA","05","H0IA05100","","Martin James","Monroe","Monroe, Martin James","","NP","","","","","3,622","1.86%","2010"
"1907",1908,"Iowa","IA","S","S0IA00028","(I)","Chuck","Grassley","Grassley, Chuck","","R","197,194","98.05%","","","718,215","64.35%","2010"
"19101",1911,"Iowa","IA","S","S0IA00127 ","","Roxanne","Conlin","Conlin, Roxanne","","D","52,715","77.55%","","","371,686","33.30%","2010"
"1911",1912,"Iowa","IA","S","S0IA00101","","Bob ","Krause","Krause, Bob ","","D","8,728","12.84%","","","","","2010"
"19121",1913,"Iowa","IA","S","S0IA00119","","Thomas L.","Fiegen","Fiegen, Thomas L.","","D","6,357","9.35%","","","","","2010"
"19151",1916,"Iowa","IA","S","S0IA00135","","John ","Heiderscheit","Heiderscheit, John ","","LIB","","","","","25,290","2.27%","2010"
"19191",1920,"Kansas","KS","01","H6KS01146","","Tim ","Huelskamp","Huelskamp, Tim ","","REP ","34,819","34.82%","","","142,281","73.76%","2010"
"1920",1921,"Kansas","KS","01","H0KS01131","","Jim ","Barnett","Barnett, Jim ","","REP ","25,047","25.05%","","","","","2010"
"19211",1922,"Kansas","KS","01","H0KS01123","","Tracey ","Mann","Mann, Tracey ","","REP ","21,161","21.16%","","","","","2010"
"1922",1923,"Kansas","KS","01","H0KS01099","","Rob ","Wasinger","Wasinger, Rob ","","REP ","9,296","9.30%","","","","","2010"
"19231",1924,"Kansas","KS","01","H0KS01115","","Sue (Holloway) ","Boldra","Boldra, Sue (Holloway) ","","REP ","7,892","7.89%","","","","","2010"
"19241",1925,"Kansas","KS","01","H0KS01164","","Marck ","Cobb","Cobb, Marck ","","REP ","1,768","1.77%","","","","","2010"
"1926",1927,"Kansas","KS","01","H0KS01156","","Alan ","Jilka","Jilka, Alan ","","DEM ","15,399","100.00%","","","44,068","22.85%","2010"
"19281",1929,"Kansas","KS","01","H0KS01081","","Jack ","Warner","Warner, Jack ","","LIB","*","","","","6,537","3.39%","2010"
"19311",1932,"Kansas","KS","02","H8KS02090","(I)","Lynn ","Jenkins","Jenkins, Lynn ","","REP ","41,458","57.15%","","","130,034","63.13%","2010"
"19321",1933,"Kansas","KS","02","H0KS02121","","Dennis ","Pyle","Pyle, Dennis ","","REP ","31,085","42.85%","","","","","2010"
"1934",1935,"Kansas","KS","02","H0KS02154","","Cheryl ","Hudspeth","Hudspeth, Cheryl ","","DEM ","10,030","44.19%","","","66,588","32.33%","2010"
"1935",1936,"Kansas","KS","02","H0KS02147","","Thomas ","Koch","Koch, Thomas ","","DEM ","8,086","35.63%","","","","","2010"
"19361",1937,"Kansas","KS","02","H0KS02162","","Sean ","Tevis","Tevis, Sean ","","DEM ","4,579","20.18%","","","","","2010"
"19381",1939,"Kansas","KS","02","H8KS02108","","Robert ","Garrard","Garrard, Robert ","","LIB","*","","","","9,353","4.54%","2010"
"19411",1942,"Kansas","KS","03","H0KS03137","","Kevin ","Yoder","Yoder, Kevin ","","REP ","32,210","44.42%","","","136,246","58.40%","2010"
"1942",1943,"Kansas","KS","03","H4KS03113","","Patricia ","Lightner","Lightner, Patricia ","","REP ","26,695","36.82%","","","","","2010"
"1943",1944,"Kansas","KS","03","H0KS03145","","Craig ","McPherson","McPherson, Craig ","","REP ","2,664","3.67%","","","","","2010"
"19441",1945,"Kansas","KS","03","H0KS03111","","Dan ","Gilyeat","Gilyeat, Dan ","","REP ","2,581","3.56%","","","","","2010"
"1945",1946,"Kansas","KS","03","H0KS03194","","Jerry M. ","Malone","Malone, Jerry M. ","","REP ","2,099","2.89%","","","","","2010"
"19461",1947,"Kansas","KS","03","H0KS03210","","Jean Ann ","Uvodich","Uvodich, Jean Ann ","","REP ","1,934","2.67%","","","","","2010"
"19471",1948,"Kansas","KS","03","H0KS03202","","Garry R. ","Klotz","Klotz, Garry R. ","","REP ","1,873","2.58%","","","","","2010"
"1948",1949,"Kansas","KS","03","H0KS03103","","John Timothy (Rez)","Rysavy","Rysavy, John Timothy (Rez)","","REP ","1,633","2.25%","","","","","2010"
"19491",1950,"Kansas","KS","03","H0KS03160","","Dave ","King","King, Dave ","","REP ","820","1.13%","","","","","2010"
"19511",1952,"Kansas","KS","03","H0KS03186","","Stephene ","Moore","Moore, Stephene ","","DEM ","16,756","78.06%","","","90,193","38.66%","2010"
"1952",1953,"Kansas","KS","03","H6KS03175","","Thomas ","Scherer","Scherer, Thomas ","","DEM ","4,709","21.94%","","","","","2010"
