"","X1","STATE.ABBREVIATION","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF.ELECTION.VOTES..LA.","GE.RUNOFF.ELECTION....LA.","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","GE.WINNER.INDICATOR","FOOTNOTES","X","X.1","year"
"2328",2329,"NC","North Carolina","05","H4NC05260","","Gardenia","Henley","Henley, Gardenia","","D","6,417","26.48%","1,443","34.43%","","","","","","","","",NA,NA,"2014"
"2329",2330,"NC","North Carolina","05","H4NC05252","","Michael W. ","Holleman","Holleman, Michael W. ","","D","5,618","23.18%","","","","","","","","","","",NA,NA,"2014"
"2330",2331,"NC","North Carolina","05","H4NC05278","","Will","Stinson","Stinson, Will","","D","4,189","17.29%","","","","","","","","","","",NA,NA,"2014"
"2334",2335,"NC","North Carolina","06","H4NC06052","","Mark","Walker","Walker, Mark","","R","11,123","25.20%","18,965","59.85%","147,312","58.67%","","","","","W","",NA,NA,"2014"
"2335",2336,"NC","North Carolina","06","H4NC06102","","Phil, Jr.","Berger","Berger, Phil, Jr.","","R","15,127","34.27%","12,722","40.15%","","","","","","","","",NA,NA,"2014"
"2336",2337,"NC","North Carolina","06","H4NC06110","","Bruce","VonCannon","VonCannon, Bruce","","R","5,055","11.45%","","","","","","","","","","",NA,NA,"2014"
"2337",2338,"NC","North Carolina","06","H4NC06128","","Zach","Matheny","Matheny, Zach","","R","5,043","11.43%","","","","","","","","","","",NA,NA,"2014"
"2338",2339,"NC","North Carolina","06","H0NC06175","","Jeff","Phillips","Phillips, Jeff","","R","3,494","7.92%","","","","","","","","","","",NA,NA,"2014"
"2339",2340,"NC","North Carolina","06","H4NC06060","","Don","Webb","Webb, Don","","R","1,899","4.30%","","","","","","","","","","",NA,NA,"2014"
"2340",2341,"NC","North Carolina","06","H4NC06151","","Mike","Causey","Causey, Mike","","R","1,427","3.23%","","","","","","","","","","",NA,NA,"2014"
"2341",2342,"NC","North Carolina","06","H4NC06144","","Kenn","Kopf","Kopf, Kenn","","R","510","1.16%","","","","","","","","","","",NA,NA,"2014"
"2342",2343,"NC","North Carolina","06","H6NC13020","","Charlie","Sutherland","Sutherland, Charlie","","R","458","1.04%","","","","","","","","","","",NA,NA,"2014"
"2344",2345,"NC","North Carolina","06","H4NC06086","","Laura","Fjeld","Fjeld, Laura","","D","19,066","56.16%","","","103,758","41.33%","","","","","","",NA,NA,"2014"
"2345",2346,"NC","North Carolina","06","H4NC06136","","Bruce","Davis","Davis, Bruce","","D","14,882","43.84%","","","","","","","","","","",NA,NA,"2014"
"2349",2350,"NC","North Carolina","07","H2NC07096","","David","Rouzer","Rouzer, David","","R","23,010","53.02%","","","134,431","59.35%","","","","","W","",NA,NA,"2014"
"2350",2351,"NC","North Carolina","07","H4NC07076","","Woody","White","White, Woody","","R","17,389","40.07%","","","","","","","","","","",NA,NA,"2014"
"2351",2352,"NC","North Carolina","07","H4NC07084","","Chris","Andrade","Andrade, Chris","","R","3,000","6.91%","","","","","","","","","","",NA,NA,"2014"
"2353",2354,"NC","North Carolina","07","H4NC07068","","Jonathan, Jr.","Barfield","Barfield, Jonathan, Jr.","","D","21,966","58.25%","","","84,054","37.11%","","","","","","",NA,NA,"2014"
"2354",2355,"NC","North Carolina","07","H4NC07092","","Walter A., Jr.","Martin","Martin, Walter A., Jr.","","D","15,741","41.75%","","","","","","","","","","",NA,NA,"2014"
"2356",2357,"NC","North Carolina","07","H4NC07100","","J. Wesley","Casteen","Casteen, J. Wesley","","LIB","Unopposed","","","","7,850","3.47%","","","","","","",NA,NA,"2014"
"2358",2359,"NC","North Carolina","07","H4NC07118","","Louis","Harmati","Harmati, Louis","","W","","","","","6","0.00%","","","","","","",NA,NA,"2014"
"2361",2362,"NC","North Carolina","08","H2NC08185","(I)","Richard","Hudson","Hudson, Richard","","R","Unopposed","","","","121,568","64.86%","","","","","W","",NA,NA,"2014"
"2362",2363,"NC","North Carolina","08","H2NC08219","","Antonio","Blue","Blue, Antonio","","D","Unopposed","","","","65,854","35.14%","","","","","","",NA,NA,"2014"
"2365",2366,"NC","North Carolina","09","H2NC09134","(I)","Robert","Pittenger","Pittenger, Robert","","R","29,505","67.59%","","","163,080","93.90%","","","","","W","",NA,NA,"2014"
"2366",2367,"NC","North Carolina","09","H4NC09148","","Michael  ","Steinberg","Steinberg, Michael  ","","R","14,146","32.41%","","","","","","","","","","",NA,NA,"2014"
"2369",2370,"NC","North Carolina","09","H4NC09130","","Shawn","Eckles","Eckles, Shawn","","W","","","","","2,369","1.36%","","","","","","",NA,NA,"2014"
"2372",2373,"NC","North Carolina","10","H4NC10047","(I)","Patrick","McHenry","McHenry, Patrick","","R","29,400","78.04%","","","133,504","61.02%","","","","","W","",NA,NA,"2014"
"2373",2374,"NC","North Carolina","10","H4NC10096","","Richard","Lynch","Lynch, Richard","","R","8,273","21.96%","","","","","","","","","","",NA,NA,"2014"
"2375",2376,"NC","North Carolina","10","H4NC10104","","Tate","MacQueen","MacQueen, Tate","","D","Unopposed","","","","85,292","38.98%","","","","","","",NA,NA,"2014"
"2378",2379,"NC","North Carolina","11","H2NC11080","(I)","Mark","Meadows","Meadows, Mark","","R","Unopposed","","","","144,682","62.90%","","","","","W","",NA,NA,"2014"
"2379",2380,"NC","North Carolina","11","H4NC11086","","Tom","Hill","Hill, Tom","","D","16,819","54.10%","","","85,342","37.10%","","","","","","",NA,NA,"2014"
"2380",2381,"NC","North Carolina","11","H4NC11078","","Keith","Ruehl","Ruehl, Keith","","D","14,272","45.90%","","","","","","","","","","",NA,NA,"2014"
"2384",2385,"NC","North Carolina","12 - FULL TERM","H4NC12100","","Alma","Adams","Adams, Alma","","D","15,235","44.00%","","","130,096","75.35%","","","","","W","",NA,NA,"2014"
"2385",2386,"NC","North Carolina","12 - FULL TERM","H4NC12084","","Malcolm","Graham","Graham, Malcolm","","D","8,180","23.63%","","","","","","","","","","",NA,NA,"2014"
"2386",2387,"NC","North Carolina","12 - FULL TERM","H4NC12076","","George","Battle","Battle, George","","D","4,342","12.54%","","","","","","","","","","",NA,NA,"2014"
"2387",2388,"NC","North Carolina","12 - FULL TERM","H4NC12050","","Marcus","Brandon","Brandon, Marcus","","D","2,856","8.25%","","","","","","","","","","",NA,NA,"2014"
"2388",2389,"NC","North Carolina","12 - FULL TERM","H4NC12126","","James (Smuggie)","Mitchell","Mitchell, James (Smuggie)","","D","1,775","5.13%","","","","","","","","","","",NA,NA,"2014"
"2389",2390,"NC","North Carolina","12 - FULL TERM","H4NC12092","","Curtis C.","Osborne","Osborne, Curtis C.","","D","1,733","5.01%","","","","","","","","","","",NA,NA,"2014"
"2390",2391,"NC","North Carolina","12 - FULL TERM","H4NC12159","","Rajive","Patel","Patel, Rajive","","D","502","1.45%","","","","","","","","","","",NA,NA,"2014"
"2392",2393,"NC","North Carolina","12 - FULL TERM","H4NC12134","","Vince","Coakley","Coakley, Vince","","R","8,652","78.01%","","","42,568","24.65%","","","","","","",NA,NA,"2014"
"2393",2394,"NC","North Carolina","12 - FULL TERM","H4NC12142","","Leon","Threatt","Threatt, Leon","","R","2,439","21.99%","","","","","","","","","","",NA,NA,"2014"
"2397",2398,"NC","North Carolina","12 - UNEXPIRED TERM","H4NC12100","","Alma","Adams","Adams, Alma","","D","14,967","44.22%","","","127,668","75.43%","","","","","W","",NA,NA,"2014"
"2398",2399,"NC","North Carolina","12 - UNEXPIRED TERM","H4NC12084","","Malcolm","Graham","Graham, Malcolm","","D","7,495","22.14%","","","","","","","","","","",NA,NA,"2014"
"2399",2400,"NC","North Carolina","12 - UNEXPIRED TERM","H4NC12076","","George","Battle","Battle, George","","D","4,431","13.09%","","","","","","","","","","",NA,NA,"2014"
"2400",2401,"NC","North Carolina","12 - UNEXPIRED TERM","H4NC12050","","Marcus","Brandon","Brandon, Marcus","","D","2,984","8.82%","","","","","","","","","","",NA,NA,"2014"
"2401",2402,"NC","North Carolina","12 - UNEXPIRED TERM","H4NC12126","","James (Smuggie)","Mitchell","Mitchell, James (Smuggie)","","D","2,034","6.01%","","","","","","","","","","",NA,NA,"2014"
"2402",2403,"NC","North Carolina","12 - UNEXPIRED TERM","H4NC12092","","Curtis C.","Osborne","Osborne, Curtis C.","","D","1,939","5.73%","","","","","","","","","","",NA,NA,"2014"
"2404",2405,"NC","North Carolina","12 - UNEXPIRED TERM","H4NC12134","","Vince","Coakley","Coakley, Vince","","R","Unopposed","","","","41,578","24.57%","","","","","","",NA,NA,"2014"
"2407",2408,"NC","North Carolina","13","H2NC13110","(I)","George","Holding","Holding, George","","R","Unopposed","","","","153,991","57.31%","","","","","W","",NA,NA,"2014"
"2408",2409,"NC","North Carolina","13","H4NC13033","","Brenda","Cleary","Cleary, Brenda","","D","24,631","70.39%","","","114,718","42.69%","","","","","","",NA,NA,"2014"
"2409",2410,"NC","North Carolina","13","H4NC13041","","Virginia","Conlon","Conlon, Virginia","","D","6,308","18.03%","","","","","","","","","","",NA,NA,"2014"
"2410",2411,"NC","North Carolina","13","H4NC13058","","Arunava (Ron)","Sanyal","Sanyal, Arunava (Ron)","","D","4,052","11.58%","","","","","","","","","","",NA,NA,"2014"
"2417",2418,"ND","North Dakota","00","H0ND01026","(I)","Kevin","Cramer","Cramer, Kevin","","R","50,188","99.70%","","","138,100","55.54%","","","","","W","",NA,NA,"2014"
"2420",2421,"ND","North Dakota","00","H4ND00046","","George","Sinner","Sinner, George","","DNL","30,102","99.83%","","","95,678","38.48%","","","","","","",NA,NA,"2014"
"2423",2424,"ND","North Dakota","00","H4ND01028","","Robert J. ""Jack""","Seaman","Seaman, Robert J. ""Jack""","","LIB","1,548","99.55%","","","14,531","5.84%","","","","","","",NA,NA,"2014"
"2430",2431,"MP","Northern Mariana Islands","00","H8MP00041","(I)","Gregorio Kilili Camacho","Sablan","Sablan, Gregorio Kilili Camacho","","IND","","","","","8,549","65.28%","","","","","W","",NA,NA,"2014"
"2431",2432,"MP","Northern Mariana Islands","00","H4MP00016","","Andrew Sablan","Salas","Salas, Andrew Sablan","","D","","","","","4,547","34.72%","","","","","","",NA,NA,"2014"
"2435",2436,"OH","Ohio","01","H8OH01043","(I)","Steve","Chabot","Chabot, Steve","","R","31,953","100.00%","","","124,779","63.22%","","","","","W","",NA,NA,"2014"
"2437",2438,"OH","Ohio","01","H2OH02093","","Fred","Kundrata","Kundrata, Fred","","D","7,369","55.90%","","","72,604","36.78%","","","","","","",NA,NA,"2014"
"2438",2439,"OH","Ohio","01","H4OH01067","","Jim","Prues","Prues, Jim","","D","5,814","44.10%","","","","","","","","","","",NA,NA,"2014"
"2442",2443,"OH","Ohio","02","H2OH02085","(I)","Brad ","Wenstrup","Wenstrup, Brad ","","R","37,134","100.00%","","","132,658","65.96%","","","","","W","",NA,NA,"2014"
"2444",2445,"OH","Ohio","02","H4OH02156 ","","Marek","Tyszkiewicz","Tyszkiewicz, Marek","","D","4,812","29.71%","","","68,453","34.04%","","","","","","",NA,NA,"2014"
"2445",2446,"OH","Ohio","02","H4OH02131 ","","Ronny","Richards","Richards, Ronny","","D","3,995","24.67%","","","","","","","","","","",NA,NA,"2014"
"2446",2447,"OH","Ohio","02","H4OH02164 ","","William R. ","Smith","Smith, William R. ","","D","3,974","24.54%","","","","","","","","","","",NA,NA,"2014"
"2447",2448,"OH","Ohio","02","H4OH02149 ","","John","Sheil","Sheil, John","","D","3,416","21.09%","","","","","","","","","","",NA,NA,"2014"
"2451",2452,"OH","Ohio","03","H2OH03125 ","(I)","Joyce B.","Beatty","Beatty, Joyce B.","","D","25,151","100.00%","","","91,769","64.06%","","","","","W","",NA,NA,"2014"
"2453",2454,"OH","Ohio","03","H0OH15099","","John ","Adams","Adams, John ","","R","10,045","58.82%","","","51,475","35.93%","","","","","","",NA,NA,"2014"
"2454",2455,"OH","Ohio","03","H4OH03089 ","","Eric T.","Vennon","Vennon, Eric T.","","R","7,032","41.18%","","","","","","","","","","",NA,NA,"2014"
"2456",2457,"OH","Ohio","03","H2OH07142","","Ralph A.","Applegate","Applegate, Ralph A.","","W","","","","","17","0.01%","","","","","","",NA,NA,"2014"
"2459",2460,"OH","Ohio","04","H6OH04082","(I)","Jim ","Jordan","Jordan, Jim ","","R","47,967","100.00%","","","125,907","67.67%","","","","","W","",NA,NA,"2014"
"2461",2462,"OH","Ohio","04","H4OH04046","","Janet","Garrett","Garrett, Janet","","D","1,471","100.00%","","","60,165","32.33%","","","","","","",NA,NA,"2014"
"2465",2466,"OH","Ohio","05","H8OH05036","(I)","Bob","Latta","Latta, Bob","","R","42,288","100.00%","","","134,449","66.46%","","","","","W","",NA,NA,"2014"
"2467",2468,"OH","Ohio","05","H4OH05043","","Robert L.","Fry","Fry, Robert L.","","D","16,460","100.00%","","","58,507","28.92%","","","","","","",NA,NA,"2014"
"2469",2470,"OH","Ohio","05","H2OH05039 ","","Eric","Eberly","Eberly, Eric","","LIB","395","100.00%","","","9,344","4.62%","","","","","","",NA,NA,"2014"
"2473",2474,"OH","Ohio","06","H0OH06189","(I)","Bill","Johnson","Johnson, Bill","","R","30,799","100.00%","","","111,026","58.23%","","","","","W","",NA,NA,"2014"
"2475",2476,"OH","Ohio","06","H4OH06074 ","","Jennifer ","Garrison","Garrison, Jennifer ","","D","22,359","72.95%","","","73,561","38.58%","","","","","","",NA,NA,"2014"
"2476",2477,"OH","Ohio","06","H4OH06082","","Gregory D.","Howard","Howard, Gregory D.","","D","8,292","27.05%","","","","","","","","","","",NA,NA,"2014"
"2478",2479,"OH","Ohio","06","H4OH06090 ","","Dennis","Lambert","Lambert, Dennis","","GRE","29","100.00%","","","6,065","3.18%","","","","","","",NA,NA,"2014"
"2482",2483,"OH","Ohio","07","H0OH18077 ","(I)","Bob ","Gibbs","Gibbs, Bob ","","R","32,839","100.00%","","","143,959","100.00%","","","","","W","",NA,NA,"2014"
"2486",2487,"OH","Ohio","08","H0OH08029 ","(I)","John A.","Boehner","Boehner, John A.","","R","47,261","71.50%","","","126,539","67.19%","","","","","W","",NA,NA,"2014"
"2487",2488,"OH","Ohio","08","H4OH08062","","J. D.","Winteregg","Winteregg, J. D.","","R","15,030","22.74%","","","","","","","","","","",NA,NA,"2014"
"2488",2489,"OH","Ohio","08","H4OH08054","","Eric  ","Gurr","Gurr, Eric","","R","3,812","5.77%","","","","","","","","","","",NA,NA,"2014"
"2490",2491,"OH","Ohio","08","H4OH08070 ","","Tom","Poetter","Poetter, Tom","","D","8,911","54.64%","","","51,534","27.36%","","","","","","",NA,NA,"2014"
"2491",2492,"OH","Ohio","08","H4OH08088 ","","Matthew J.","Guyette","Guyette, Matthew J.","","D","7,399","45.36%","","","","","","","","","","",NA,NA,"2014"
"2493",2494,"OH","Ohio","08","H0OH08128","","James J., Jr.","Condit","Condit, James J., Jr.","","CON","60","100.00%","","","10,257","5.45%","","","","","","",NA,NA,"2014"
"2497",2498,"OH","Ohio","09","H2OH09031","(I)","Marcy","Kaptur","Kaptur, Marcy","","D","32,464","100.00%","","","108,870","67.74%","","","","","W","",NA,NA,"2014"
"2499",2500,"OH","Ohio","09","H4OH09102 ","","Richard","May","May, Richard","","R","9,587","72.23%","","","51,704","32.17%","","","","","","",NA,NA,"2014"
"2500",2501,"OH","Ohio","09","H4OH09094","","Robert C., Jr.","Horrocks","Horrocks, Robert C., Jr.","","R","3,686","27.77%","","","","","","","","","","",NA,NA,"2014"
"2502",2503,"OH","Ohio","09","H4OH09086","","Cory","Hoffman","Hoffman, Cory","","W","","","","","112","0.07%","","","","","","",NA,NA,"2014"
"2503",2504,"OH","Ohio","09","H4OH09128","","George A.","Skalsky","Skalsky, George A.","","W","","","","","29","0.02%","","","","","","",NA,NA,"2014"
"2506",2507,"OH","Ohio","10","H2OH03067","(I)","Mike","Turner","Turner, Mike","","R","32,550","79.85%","","","130,752","65.18%","","","","","W","",NA,NA,"2014"
"2507",2508,"OH","Ohio","10","H0OH07104","","John D.","Anderson","Anderson, John D.","","R","8,214","20.15%","","","","","","","","","","",NA,NA,"2014"
"2509",2510,"OH","Ohio","10","H4OH10167 ","","Robert","Klepinger","Klepinger, Robert","","D","9,645","55.75%","","","63,249","31.53%","","","","","","",NA,NA,"2014"
"2510",2511,"OH","Ohio","10","H4OH10159 ","","Bill","Conner","Conner, Bill","","D","7,655","44.25%","","","","","","","","","","",NA,NA,"2014"
"2512",2513,"OH","Ohio","10","H0OH08136","","David A.","Harlow","Harlow, David A.","","LIB","221","100.00%","","","6,605","3.29%","","","","","","",NA,NA,"2014"
"2516",2517,"OH","Ohio","11","H8OH11141","(I)","Marcia L.","Fudge","Fudge, Marcia L.","","D","55,088","100.00%","","","137,105","79.45%","","","","","W","",NA,NA,"2014"
"2518",2519,"OH","Ohio","11","H4OH11066","","Mark","Zetzer","Zetzer, Mark","","R","8,839","100.00%","","","35,461","20.55%","","","","","","",NA,NA,"2014"
"2522",2523,"OH","Ohio","12","H0OH12062","(I)","Pat","Tiberi","Tiberi, Pat","","R","46,186","100.00%","","","150,573","68.11%","","","","","W","",NA,NA,"2014"
"2524",2525,"OH","Ohio","12","H4OH12072 ","","David Arthur","Tibbs","Tibbs, David Arthur","","D","18,259","100.00%","","","61,360","27.75%","","","","","","",NA,NA,"2014"
"2526",2527,"OH","Ohio","12","H4OH12064 ","","Bob","Hart","Hart, Bob","","GRE","155","100.00%","","","9,148","4.14%","","","","","","",NA,NA,"2014"
"2530",2531,"OH","Ohio","13","H2OH17109","(I)","Tim","Ryan","Ryan, Tim","","D","45,585","85.05%","","","120,230","68.49%","","","","","W","",NA,NA,"2014"
"2531",2532,"OH","Ohio","13","H4OH00028","","John Stephen","Luchansky","Luchansky, John Stephen","","D","8,016","14.95%","","","","","","","","","","",NA,NA,"2014"
"2533",2534,"OH","Ohio","13","H8OH11133","","Thomas","Pekarek","Pekarek, Thomas","","R","351","100.00%","","","55,233","31.46%","","","","","","",NA,NA,"2014"
"2535",2536,"OH","Ohio","13","H4OH13104","","David Allen","Pastorius","Pastorius, David Allen","","W","","","","","86","0.05%","","","","","","",NA,NA,"2014"
"2538",2539,"OH","Ohio","14","H2OH14064 ","(I)","David P.","Joyce","Joyce, David P.","","R","27,547","54.99%","","","135,736","63.26%","","","","","W","",NA,NA,"2014"
"2539",2540,"OH","Ohio","14","H4OH14110","","Matt ","Lynch","Lynch, Matt ","","R","22,546","45.01%","","","","","","","","","","",NA,NA,"2014"
"2541",2542,"OH","Ohio","14","H4OH14102","","Michael ","Wager","Wager, Michael ","","D","23,533","100.00%","","","70,856","33.02%","","","","","","",NA,NA,"2014"
"2543",2544,"OH","Ohio","14","H8OH14103","","David ","Macko","Macko, David ","","LIB","259","100.00%","","","7,988","3.72%","","","","","","",NA,NA,"2014"
"2547",2548,"OH","Ohio","15","H8OH15076 ","(I)","Steve","Stivers","Stivers, Steve","","R","36,569","90.14%","","","128,496","66.02%","","","","","W","",NA,NA,"2014"
"2548",2549,"OH","Ohio","15","H4OH15067","","Charles S.","Chope","Chope, Charles S.","","R","3,999","9.86%","","","","","","","","","","",NA,NA,"2014"
"2550",2551,"OH","Ohio","15","H2OH15095 ","","Scott","Wharton","Wharton, Scott","","D","18,336","100.00%","","","66,125","33.98%","","","","","","",NA,NA,"2014"
"2554",2555,"OH","Ohio","16","H0OH16097","(I)","Jim","Renacci","Renacci, Jim","","R","37,040","100.00%","","","132,176","63.74%","","","","","W","",NA,NA,"2014"
"2556",2557,"OH","Ohio","16","H4OH16115 ","","Pete ","Crossland","Crossland, Pete ","","D","14,635","58.05%","","","75,199","36.26%","","","","","","",NA,NA,"2014"
"2557",2558,"OH","Ohio","16","H4OH16107 ","","James ","Donenwirth","Donenwirth, James ","","D","10,575","41.95%","","","","","","","","","","",NA,NA,"2014"
"2563",2564,"OK","Oklahoma","01","H2OK01143","(I)","Jim","Bridenstine","Bridenstine, Jim","","R","Unopposed","","","","Unopposed","","","","","","W","",NA,NA,"2014"
"2566",2567,"OK","Oklahoma","02","H2OK02083","(I)","Markwayne","Mullin","Mullin, Markwayne","","R","26,245","79.73%","","","110,925","70.03%","","","","","W","",NA,NA,"2014"
"2567",2568,"OK","Oklahoma","02","H4OK02147","","Darrel","Robertson","Robertson, Darrel","","R","6,673","20.27%","","","","","","","","","","",NA,NA,"2014"
"2569",2570,"OK","Oklahoma","02","H2OK02166","","Earl E.","Everett","Everett, Earl E.","","D","33,119","62.57%","","","38,964","24.60%","","","","","","",NA,NA,"2014"
"2570",2571,"OK","Oklahoma","02","H4OK02154","","Joshua","Harris-Till","Harris-Till, Joshua","","D","19,813","37.43%","","","","","","","","","","",NA,NA,"2014"
"2572",2573,"OK","Oklahoma","02","H4OK02162","","Jon","Douthitt","Douthitt, Jon","","IND","","","","","8,518","5.38%","","","","","","",NA,NA,"2014"
"2575",2576,"OK","Oklahoma","03","H4OK06056","(I)","Frank D.","Lucas","Lucas, Frank D.","","R","54,847","82.82%","","","133,335","78.62%","","","","","W","",NA,NA,"2014"
"2576",2577,"OK","Oklahoma","03","H4OK03046","","Robert","Hubbard","Hubbard, Robert","","R","7,925","11.97%","","","","","","","","","","",NA,NA,"2014"
"2577",2578,"OK","Oklahoma","03","H2OK03081","","Timothy Ray","Murray","Murray, Timothy Ray","","R","3,449","5.21%","","","","","","","","","","",NA,NA,"2014"
"2579",2580,"OK","Oklahoma","03","H8OK03047","","Frankie","Robbins","Robbins, Frankie","","D","Unopposed","","","","36,270","21.38%","","","","","","",NA,NA,"2014"
"2582",2583,"OK","Oklahoma","04","H2OK04055","(I)","Tom","Cole","Cole, Tom","","R","40,790","84.45%","","","117,721","70.80%","","","","","W","",NA,NA,"2014"
"2583",2584,"OK","Oklahoma","04","H4OK04143","","Anna","Flatt","Flatt, Anna","","R","7,511","15.55%","","","","","","","","","","",NA,NA,"2014"
"2585",2586,"OK","Oklahoma","04","H4OK05066","","Bert","Smith","Smith, Bert","","D","24,268","81.56%","","","40,998","24.66%","","","","","","",NA,NA,"2014"
"2586",2587,"OK","Oklahoma","04","H4OK04135","","Tae","Si","Si, Tae","","D","5,485","18.44%","","","","","","","","","","",NA,NA,"2014"
"2588",2589,"OK","Oklahoma","04","H4OK04150","","Dennis B.","Johnson","Johnson, Dennis B.","","IND","","","","","7,549","4.54%","","","","","","",NA,NA,"2014"
"2591",2592,"OK","Oklahoma","05","H4OK05132","","Steve","Russell","Russell, Steve","","R","14,604","26.57%","19,374","59.26%","95,632","60.10%","","","","","W","",NA,NA,"2014"
"2592",2593,"OK","Oklahoma","05","H4OK05108","","Patrice","Douglas","Douglas, Patrice","","R","13,445","24.46%","13,319","40.74%","","","","","","","","",NA,NA,"2014"
"2593",2594,"OK","Oklahoma","05","H4OK05116","","Clark","Jolley","Jolley, Clark","","R","9,232","16.80%","","","","","","","","","","",NA,NA,"2014"
"2594",2595,"OK","Oklahoma","05","H4OK05140","","Mike","Turner","Turner, Mike","","R","7,760","14.12%","","","","","","","","","","",NA,NA,"2014"
"2595",2596,"OK","Oklahoma","05","H0OK05130","","Shane David","Jett","Jett, Shane David","","R","7,022","12.78%","","","","","","","","","","",NA,NA,"2014"
"2596",2597,"OK","Oklahoma","05","H4OK05157","","Harvey","Sparks","Sparks, Harvey","","R","2,898","5.27%","","","","","","","","","","",NA,NA,"2014"
"2598",2599,"OK","Oklahoma","05","H4OK05124","","Al","McAffrey","McAffrey, Al","","D","8,507","30.89%","10,417","54.23%","57,790","36.32%","","","","","","",NA,NA,"2014"
"2599",2600,"OK","Oklahoma","05","H0OK05155","","Tom","Guild","Guild, Tom","","D","11,603","42.13%","8,793","45.77%","","","","","","","","",NA,NA,"2014"
"2600",2601,"OK","Oklahoma","05","H4OK05165","","Leona","Leonard","Leonard, Leona","","D","7,431","26.98%","","","","","","","","","","",NA,NA,"2014"
"2602",2603,"OK","Oklahoma","05","H6OK04098","","Robert T.","Murphy","Murphy, Robert T.","","IND","","","","","2,176","1.37%","","","","","","",NA,NA,"2014"
"2603",2604,"OK","Oklahoma","05","H4OK05173","","Tom","Boggs","Boggs, Tom","","IND","","","","","2,065","1.30%","","","","","","",NA,NA,"2014"
"2604",2605,"OK","Oklahoma","05","H4OK05181","","Buddy","Ray","Ray, Buddy","","IND","","","","","1,470","0.92%","","","","","","",NA,NA,"2014"
"2611",2612,"OR","Oregon","01","H2OR01133 ","(I)","Suzanne ","Bonamici","Bonamici, Suzanne ","","D/WF*","50,903","98.83%","","","160,038","57.31%","","","","","W","*  The Constitution party nominated by convention on May 24, 2014, and the Pacific Green Party nominated by convention on June 7, 2014.  The Libertarian party conducted its own primary election on June 6, 2014, and the Independent Party conducted its own primary election on July 19, 2014.  The Working Families Party nominating caucus dates were July 22, 2014 (Congressional District 1) and July 14, 2014 (Congressional District 4).  These nominees are noted with asterisks.",NA,NA,"2014"
"2614",2615,"OR","Oregon","01","H4OR01113","","Jason","Yates","Yates, Jason","","R/CON*","16,466","42.29%","","","96,245","34.47%","","","","","","",NA,NA,"2014"
"2615",2616,"OR","Oregon","01","H2OR01190","","Delinda Delgado","Morgan","Morgan, Delinda Delgado","","R","15,521","39.86%","","","","","","","","","","",NA,NA,"2014"
"2616",2617,"OR","Oregon","01","H4OR02186","","Bob","Niemeyer","Niemeyer, Bob","","R","6,637","17.05%","","","","","","","","","","",NA,NA,"2014"
"2619",2620,"OR","Oregon","01","H2OR01224","","James","Foster","Foster, James","","LIB","*","","","","11,213","4.02%","","","","","","*  The Constitution party nominated by convention on May 24, 2014, and the Pacific Green Party nominated by convention on June 7, 2014.  The Libertarian party conducted its own primary election on June 6, 2014, and the Independent Party conducted its own primary election on July 19, 2014.  The Working Families Party nominating caucus dates were July 22, 2014 (Congressional District 1) and July 14, 2014 (Congressional District 4).  These nominees are noted with asterisks.",NA,NA,"2014"
"2620",2621,"OR","Oregon","01","H2OR01216","","Steven C.","Reynolds","Reynolds, Steven C.","","PRO/PG","*","","","","11,163","4.00%","","","","","","*  The Constitution party nominated by convention on May 24, 2014, and the Pacific Green Party nominated by convention on June 7, 2014.  The Libertarian party conducted its own primary election on June 6, 2014, and the Independent Party conducted its own primary election on July 19, 2014.  The Working Families Party nominating caucus dates were July 22, 2014 (Congressional District 1) and July 14, 2014 (Congressional District 4).  These nominees are noted with asterisks.",NA,NA,"2014"
"2626",2627,"OR","Oregon","02","H6OR02116 ","(I)","Greg ","Walden","Walden, Greg ","","R","64,603","75.53%","","","202,374","70.41%","","","","","W","",NA,NA,"2014"
"2627",2628,"OR","Oregon","02","H4OR02160","","Dennis B.","Linthicum","Linthicum, Dennis B.","","R","20,745","24.25%","","","","","","","","","","",NA,NA,"2014"
"2630",2631,"OR","Oregon","02","H4OR02178 ","","Aelea ","Christofferson","Christofferson, Aelea ","","D","24,407","61.77%","","","73,785","25.67%","","","","","","",NA,NA,"2014"
"2631",2632,"OR","Oregon","02","H4OR02194","","Barney ","Spera","Spera, Barney ","","D","7,996","20.24%","","","","","","","","","","",NA,NA,"2014"
"2632",2633,"OR","Oregon","02","H2OR02149","","C. F. (Frank)","Vulliet","Vulliet, C. F. (Frank)","","D","6,103","15.45%","","","","","","","","","","",NA,NA,"2014"
"2635",2636,"OR","Oregon","02","H4OR02202","","Sharon L.","Durbin","Durbin, Sharon L.","","LIB","*","","","","10,491","3.65%","","","","","","*  The Constitution party nominated by convention on May 24, 2014, and the Pacific Green Party nominated by convention on June 7, 2014.  The Libertarian party conducted its own primary election on June 6, 2014, and the Independent Party conducted its own primary election on July 19, 2014.  The Working Families Party nominating caucus dates were July 22, 2014 (Congressional District 1) and July 14, 2014 (Congressional District 4).  These nominees are noted with asterisks.",NA,NA,"2014"
