"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF","GE.RUNOFF..","COMBINED.GE.PARTY.TOTALS..CT..NY.","COMBINED....CT..NY.","FOOTNOTES","year"
"198",199,"California","CA","02","H8CA02010","(I)","Wally","Herger","Herger, Wally","","R","62,394","100.00%","","","163,459","57.89%","","","","","","2008"
"200",201,"California","CA","02","H8CA02073","","Jeff","Morris","Morris, Jeff","","D","14,750","34.66%","","","118,878","42.11%","","","","","","2008"
"201",202,"California","CA","02","H4CA02072","","Arjinderpal","Sekhon","Sekhon, Arjinderpal","","D","14,340","33.69%","","","","","","","","","","2008"
"202",203,"California","CA","02","H8CA00085","","John","Jacobson","Jacobson, John","","D","13,470","31.65%","","","","","","","","","","2008"
"205",206,"California","CA","03","H6CA34112","(I)","Dan","Lungren","Lungren, Dan","","R","50,532","100.00%","","","155,424","49.49%","","","","","","2008"
"207",208,"California","CA","03","H6CA03091","","William","Durston","Durston, William","","D","37,318","100.00%","","","137,971","43.93%","","","","","","2008"
"209",210,"California","CA","03","H8CA03162","","Dina J.","Padilla","Padilla, Dina J.","","PAF","83","100.00%","","","13,378","4.26%","","","","","","2008"
"211",212,"California","CA","03","H8CA03154","","Douglas Arthur","Tuma","Tuma, Douglas Arthur","","LBT","347","100.00%","","","7,273","2.32%","","","","","","2008"
"214",215,"California","CA","04","H8CA04152","","Tom","McClintock","McClintock, Tom","","R","51,665","53.46%","","","185,790","50.24%","","","","","","2008"
"215",216,"California","CA","04","H8CA03105","","Doug","Ose","Ose, Doug","","R","37,802","39.12%","","","","","","","","","","2008"
"216",217,"California","CA","04","H8CA04160","","Suzanne","Jones","Jones, Suzanne","","R","4,920","5.09%","","","","","","","","","","2008"
"217",218,"California","CA","04","H8CA04145","","Theodore","Terbolizard","Terbolizard, Theodore","","R","2,249","2.33%","","","","","","","","","","2008"
"219",220,"California","CA","04","H6CA04123","","Charlie","Brown","Brown, Charlie","","D","51,028","87.99%","","","183,990","49.76%","","","","","","2008"
"220",221,"California","CA","04","H8CA04178","","John","Wolfgram","Wolfgram, John","","D","6,962","12.01%","","","","","","","","","","2008"
"223",224,"California","CA","05","H6CA05195","(I)","Doris","Matsui","Matsui, Doris","","D","51,006","100.00%","","","164,242","74.27%","","","","","","2008"
"225",226,"California","CA","05","H8CA05159","","Paul A.","Smith","Smith, Paul A.","","R","18,232","100.00%","","","46,002","20.80%","","","","","","2008"
"227",228,"California","CA","05","H8CA05175","","L. R.","Roberts","Roberts, L. R.","","PAF","172","100.00%","","","10,731","4.85%","","","","","","2008"
"229",230,"California","CA","05","H8CA05167","","David B.","Lynch","Lynch, David B.","","W","","","","","180","0.08%","","","","","","2008"
"231",232,"California","CA","06","H2CA01045","(I)","Lynn","Woolsey","Woolsey, Lynn","","D","88,969","99.97%","","","229,672","71.69%","","","","","","2008"
"232",233,"California","CA","06","H8CA06074","","Edward K.","Newman","Newman, Edward K.","","W(D)","26","0.03%","","","","","","","","","","2008"
"234",235,"California","CA","06","H6CA06193","","Michael","Halliwell","Halliwell, Michael","","R","29,527","100.00%","","","77,073","24.06%","","","","","","2008"
"236",237,"California","CA","06","H8CA06066","","Joel R.","Smolen","Smolen, Joel R.","","LBT","515","100.00%","","","13,617","4.25%","","","","","","2008"
"239",240,"California","CA","07","H6CA07043","(I)","George","Miller","Miller, George","","D","49,260","100.00%","","","170,962","72.82%","","","","","","2008"
"241",242,"California","CA","07","H8CA07049","","Roger Allen","Petersen","Petersen, Roger Allen","","R","9,658","55.77%","","","51,166","21.79%","","","","","","2008"
"242",243,"California","CA","07","H8CA07031","","Virginia","Fuller-Kendall","Fuller-Kendall, Virginia","","R","7,660","44.23%","","","","","","","","","","2008"
"244",245,"California","CA","07","H4CA07030","","Bill","Callison","Callison, Bill","","PAF","80","100.00%","","","6,695","2.85%","","","","","","2008"
"246",247,"California","CA","07","H6CA07118","","Camden","McConnell","McConnell, Camden","","LBT","237","100.00%","","","5,950","2.53%","","","","","","2008"
"249",250,"California","CA","08","H8CA05035","(I)","Nancy","Pelosi","Pelosi, Nancy","","D","83,510","89.21%","","","204,996","71.87%","","","","","","2008"
"250",251,"California","CA","08","H8CA08070","","Shirley","Golub","Golub, Shirley","","D","10,105","10.79%","","","","","","","","","","2008"
"252",253,"California","CA","08","H8CA08088","","Cindy","Sheehan","Sheehan, Cindy","","I","n/a","n/a","","","46,118","16.17%","","","","","","2008"
"253",254,"California","CA","08","H8CA08062","","Dana","Walsh","Walsh, Dana","","R","7,903","100.00%","","","27,614","9.68%","","","","","","2008"
"255",256,"California","CA","08","H6CA08173","","Philip Z.","Berg","Berg, Philip Z.","","LBT","276","100.00%","","","6,504","2.28%","","","","","","2008"
"260",261,"California","CA","09","H8CA09060","(I)","Barbara","Lee","Lee, Barbara","","D","80,466","99.90%","","","238,915","86.06%","","","","","","2008"
"261",262,"California","CA","09","H8CA09136","","Brad","Newsham","Newsham, Brad","","W(D)","79","0.10%","","","","","","","","","","2008"
"263",264,"California","CA","09","H8CA09128","","Charles","Hargrave","Hargrave, Charles","","R","7,893","100.00%","","","26,917","9.70%","","","","","","2008"
"265",266,"California","CA","09","H2CA09097","","James M.","Eyer","Eyer, James M.","","LBT","225","100.00%","","","11,704","4.22%","","","","","","2008"
"270",271,"California","CA","10","H6CA10088","(I)","Ellen O.","Tauscher","Tauscher, Ellen O.","","D","55,427","100.00%","","","192,226","65.12%","","","","","","2008"
"272",273,"California","CA","10","H8CA10084","","Nicholas","Gerber","Gerber, Nicholas","","R","30,324","100.00%","","","91,877","31.13%","","","","","","2008"
"274",275,"California","CA","10","H8CA10092","","Eugene E.","Ruyle","Ruyle, Eugene E.","","PAF","63","100.00%","","","11,062","3.75%","","","","","","2008"
"277",278,"California","CA","11","H4CA11081","(I)","Jerry","McNerney","McNerney, Jerry","","D","40,403","100.00%","","","164,500","55.27%","","","","","","2008"
"279",280,"California","CA","11","H8CA11082","","Dean","Andal","Andal, Dean","","R","41,879","100.00%","","","133,104","44.72%","","","","","","2008"
"283",284,"California","CA","12","H8CA12171","(I)","Jackie","Speier","Speier, Jackie","","D","60,393","89.52%","","","200,442","75.11%","","","","","","2008"
"284",285,"California","CA","12","H8CA12189","","Michelle","McMurry","McMurry, Michelle","","D","3,827","5.67%","","","","","","","","","","2008"
"285",286,"California","CA","12","H8CA12205","","Frank","Wade","Wade, Frank","","D","1,652","2.45%","","","","","","","","","","2008"
"286",287,"California","CA","12","H6CA12159","","Robert","Barrows","Barrows, Robert","","D","1,594","2.36%","","","","","","","","","","2008"
"288",289,"California","CA","12","H8CA12197","","Greg","Conlon","Conlon, Greg","","R","12,060","64.99%","","","49,258","18.46%","","","","","","2008"
"289",290,"California","CA","12","H8CA12148","","Michael","Moloney","Moloney, Michael","","R","6,498","35.01%","","","","","","","","","","2008"
"291",292,"California","CA","12","H8CA12221","","Nathalie","Hrizi","Hrizi, Nathalie","","PAF","90","100.00%","","","5,793","2.17%","","","","","","2008"
"293",294,"California","CA","12","H4CA12089","","Barry","Hermanson","Hermanson, Barry","","GRE","633","100.00%","","","5,776","2.16%","","","","","","2008"
"295",296,"California","CA","12","H8CA12213","","Kevin Dempsey","Peterson","Peterson, Kevin Dempsey","","LBT","230","100.00%","","","5,584","2.09%","","","","","","2008"
"298",299,"California","CA","13","H6CA09023","(I)","Fortney","Stark","Stark, Fortney","","D","42,897","100.00%","","","166,829","76.43%","","","","","","2008"
"300",301,"California","CA","13","H8CA13088","","Raymond","Chui","Chui, Raymond","","R","12,706","100.00%","","","51,447","23.57%","","","","","","2008"
"303",304,"California","CA","14","H8CA12098","(I)","Anna G.","Eshoo","Eshoo, Anna G.","","D","60,856","100.00%","","","190,301","69.77%","","","","","","2008"
"305",306,"California","CA","14","H8CA14169","","Ronny","Santana","Santana, Ronny","","R","22,812","100.00%","","","60,610","22.22%","","","","","","2008"
"307",308,"California","CA","14","H4CA14085","","Brian","Holtz","Holtz, Brian","","LBT","524","100.00%","","","11,929","4.37%","","","","","","2008"
"309",310,"California","CA","14","H6CA14098","","Carol","Brouillet","Brouillet, Carol","","GRE","784","100.00%","","","9,926","3.64%","","","","","","2008"
"312",313,"California","CA","15","H0CA15148","(I)","Mike","Honda","Honda, Mike","","D","46,652","100.00%","","","170,977","71.66%","","","","","","2008"
"314",315,"California","CA","15","H8CA15083","","Joyce Stoer","Cordi","Cordi, Joyce Stoer","","R","19,750","100.00%","","","55,489","23.26%","","","","","","2008"
"316",317,"California","CA","15","H8CA15091","","Peter","Myers","Myers, Peter","","GRE","326","100.00%","","","12,123","5.08%","","","","","","2008"
"319",320,"California","CA","16","H4CA16049","(I)","Zoe","Lofgren","Lofgren, Zoe","","D","39,616","100.00%","","","146,481","71.34%","","","","","","2008"
"321",322,"California","CA","16","H6CA16127","","Charel","Winston","Winston, Charel","","R","16,836","100.00%","","","49,399","24.06%","","","","","","2008"
"323",324,"California","CA","16","H8CA16057","","Steven","Wells","Wells, Steven","","LBT","255","100.00%","","","9,447","4.60%","","","","","","2008"
"326",327,"California","CA","17","H4CA17021","(I)","Sam","Farr","Farr, Sam","","D","53,057","100.00%","","","168,907","73.88%","","","","","","2008"
"328",329,"California","CA","17","H8CA17089","","Jeff","Taylor","Taylor, Jeff","","R","23,188","100.00%","","","59,037","25.82%","","","","","","2008"
"332",333,"California","CA","18","H2CA18056","(I)","Dennis A.","Cardoza","Cardoza, Dennis A.","","D","26,392","100.00%","","","130,192","100.00%","","","","","","2008"
"335",336,"California","CA","19","H2CA19054","(I)","George P.","Radanovich","Radanovich, George P.","","R","51,645","100.00%","","","179,245","98.43%","","","","","","2008"
"340",341,"California","CA","20","H4CA20082","(I)","Jim","Costa","Costa, Jim","","D","22,042","100.00%","","","93,023","74.33%","","","","","","2008"
"342",343,"California","CA","20","H6CA20137","","Jim","Lopez","Lopez, Jim","","R","11,257","100.00%","","","32,118","25.67%","","","","","","2008"
"345",346,"California","CA","21","H8CA20059","(I)","Devin G.","Nunes","Nunes, Devin G.","","R","41,638","100.00%","","","143,498","68.39%","","","","","","2008"
"347",348,"California","CA","21","H8CA21107","","Larry","Johnson","Johnson, Larry","","D","21,738","100.00%","","","66,317","31.61%","","","","","","2008"
"350",351,"California","CA","22","H6CA22125","(I)","Kevin","McCarthy","McCarthy, Kevin","","R","61,915","100.00%","","","224,549","100.00%","","","","","","2008"
