"","A.GUIDE.TO.PARTY.LABELS","X.1"
"10511","TPA","The People's Agenda"
"10811","UIS","Unity Is Strength"
"10911","UJP","Utah Justice Party"
"11111","USM","United States Marijuana"
"11311","VKS","Vote KISS"
"11611","WTP","We the People"
"5102","AE"," Americans Elect"
"6102","AFC ","Allen 4 Congress"
"7102","AIP ","American Independent"
"8102","AKI ","Alaskan Independence"
"9102","ALP ","American Labor Party"
"10102","AM  ","American Party"
"11102","AMC ","American Constitution Party"
"12102","BBH ","Bullying Breaks Hearts"
"14102","BQT"," Bob Quast for Term Limits"
"15102","CIT","Citizens Party"
"16102","CN ","Change is Needed"
"17102","CON ","Constitution"
"1914","D ","Democratic"
"2014","DCG ","D.C. Statehood Green"
"2114","DFL ","Democratic-Farmer-Labor"
"2214","DNL ","Democratic-Nonpartisan League"
"2314","DRP ","D-R Party"
"2412","EG ","Economic Growth"
"2512","ENI ","Energy Independence"
"2612","FA ","For Americans"
"2712","FEP ","Flourish Every Person"
"2812","FV ","Future.Vision."
"2912","GOP ","G.O.P. Party"
"3112","HRP","Human Rights Party"
"3212","IAP ","Independent American Party"
"3312","IDP ","Independence"
"3412","IGR ","Independent Green"
"3512","IND  ","Independent"
"3612","IP ","Independent Party"
"3712","JP ","José Peñalosa"
"3812","LBF ","Libertarian Party of Florida"
"3912","LBR  ","Labor"
"4012","LBU"," Liberty Union"
"4112","LIB   ","Libertarian"
"4212","LMP ","Legalize Marijuana Party"
"4312","MSC ","Send Mr. Smith"
"4412","MTP ","Mountain"
"4612","NAF ","Nonaffiliated"
"5112","NUP","National Union Party"
"5212","OP ","Of The People"
"5312","PAC ","Politicians are Crooks"
"5412","PAF ","Peace and Freedom"
"5512","PC ","Petitioning Candidate"
"5712","PG ","Pacific Green"
"5812","PRO ","Progressive"
"5912","R","Republican"
"6112","SBP ","Stop Boss Politics"
"6212","SC ","Start the Conversation"
"6312","SI ","Seeking Inclusion"
"6412","TN ","911 Truth Needed"
"6512","TRP ","Tax Revolt"
"6612","TVH ","Truth Vision Hope"
"6712","UN ","Unaffiliated"
"6812","UPC ","Unity Party of Colorado"
"6912","UST ","U.S. Taxpayers Party"
"7012","W ","Write-In"
"7112","WDB ","We Deserve Better"
"7212","WF ","Working Families"
"7312","WU ","Wake Up USA"
"7412","WWP","Work and Wealth Party"
